date,close,high,low
2021-01-03,10845.03,10846.56,10804.16
2021-01-04,10813.78,10860.66,10813.13
2021-01-05,10829.96,10855.15,10804.94
2021-01-06,10952.14,10971.57,10829.96
2021-01-10,11213.48,11218.1,10952.14
2021-01-11,11278.72,11287.12,11213.48
2021-01-12,11339.75,11354.34,11274.91
2021-01-13,11388.9,11388.9,11335.99
2021-01-14,11453.43,11462.05,11381.09
2021-01-17,11446.53,11477.74,11424.66
2021-01-18,11450.54,11503.28,11446.53
2021-01-19,11485.8,11485.8,11420.66
2021-01-20,11598.9,11604.47,11485.8
2021-01-21,11654.58,11675.69,11598.9
2021-01-24,11525.25,11672.09,11525.25
2021-01-25,11509.63,11542.11,11507.04
2021-01-26,11527.34,11528.38,11478.59
2021-01-27,11578.84,11591.25,11527.34
2021-01-31,11546.15,11583.76,11546.11
2021-02-01,11589.34,11623.77,11546.15
2021-02-02,11637.55,11645.72,11589.34
2021-02-03,11619.14,11673.45,11618.94
2021-02-04,11598.85,11632.06,11596.97
2021-02-07,11602.78,11629.04,11598.85
2021-02-08,11523.06,11664.98,11523.06
2021-02-09,11447.73,11523.06,11429.28
2021-02-10,11545.03,11546.12,11447.73
2021-02-11,11546.32,11584.4,11545.03
2021-02-14,11506.72,11592.41,11506.72
2021-02-15,11526.77,11546.96,11506.72
2021-02-16,11534.05,11565.8,11514.69
2021-02-17,11413.17,11537.23,11413.17
2021-02-18,11380.55,11429.77,11377.99
2021-02-21,11425.85,11446.05,11380.55
2021-02-22,11549.97,11551.86,11425.85
2021-02-23,11416.74,11556.26,11416.74
2021-02-24,11435.43,11435.43,11288.27
2021-02-25,11617.91,11621.57,11435.43
2021-02-28,11525.02,11630.75,11525.02
2021-03-01,11521.38,11588.67,11519.2
2021-03-02,11471.39,11533.49,11471.39
2021-03-03,11393.25,11489.25,11386.66
2021-03-04,11333.86,11409.78,11298.08
2021-03-07,11557.85,11564.62,11333.86
2021-03-08,11459.51,11609.76,11459.51
2021-03-09,11337.46,11495.41,11337.38
2021-03-10,11235.6,11337.46,11187.63
2021-03-11,11261.35,11272.99,11202.09
2021-03-14,11289.57,11344.6,11261.35
2021-03-15,11222.33,11333.0,11222.29
2021-03-16,11190.8,11223.42,11146.33
2021-03-17,11068.37,11195.58,11068.37
2021-03-18,10918.4,11068.37,10903.98
2021-03-21,10802.29,10974.62,10802.29
2021-03-22,10537.22,10802.29,10537.22
2021-03-23,10471.36,10538.2,10316.96
2021-03-24,10702.18,10723.61,10471.36
2021-03-25,10870.46,10870.46,10691.92
2021-03-28,10867.69,10935.53,10867.46
2021-03-29,10738.42,10875.98,10733.2
2021-03-30,10739.69,10785.61,10717.57
